DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
2/2/23,14:15:46,TRD,1625982463,tAndroid SOLD -5 DIAGONAL SPY 100 17 MAR 23/2 FEB 23 480/402 PUT @65.55,-0.61,-6.50,"32,775.00","123,577.26"
2/3/23,00:00:00,BAL,,Cash balance at the start of business day 03.02 CST,,,,"123,577.26"
2/3/23,09:11:19,TRD,1626374604,tAndroid BOT +1 DIAGONAL SPY 100 7 FEB 23/6 FEB 23 380/412 CALL @30.23,-0.03,-1.30,"-3,023.00","120,552.93"
2/3/23,09:12:18,TRD,1626377308,tAndroid BOT +1 CALENDAR SPY 100 19 MAY 23/7 FEB 23 380 CALL @9.35,-0.08,-1.30,-935.00,"119,616.55"
2/3/23,09:14:40,TRD,1626385805,tAndroid BOT +1 DIAGONAL SPY 100 19 MAY 23/6 FEB 23 440/412 PUT @26.59,-0.03,-1.30,"-2,659.00","116,956.22"
2/4/23,00:00:00,BAL,,Cash balance at the start of business day 04.02 CST,,,,"116,956.22"
2/5/23,00:00:00,BAL,,Cash balance at the start of business day 05.02 CST,,,,"116,956.22"
2/6/23,00:00:00,BAL,,Cash balance at the start of business day 06.02 CST,,,,"116,956.22"
2/6/23,12:20:22,TRD,1627538565,tAndroid SOLD -1 DIAGONAL SPY 100 7 FEB 23/6 FEB 23 410/412 PUT @.15,-0.03,-1.30,15.00,"116,969.89"
2/6/23,12:25:09,TRD,1627543177,tAndroid SOLD -1 DIAGONAL SPY 100 7 FEB 23/6 FEB 23 410/412 CALL @2.23,-0.03,-1.30,223.00,"117,191.56"
2/7/23,00:00:00,BAL,,Cash balance at the start of business day 07.02 CST,,,,"117,191.56"
2/7/23,10:30:21,TRD,1628162007,tAndroid SOLD -1 CALENDAR SPY 100 (Weeklys) 8 FEB 23/7 FEB 23 410 CALL @.64,-0.03,-1.30,64.00,"117,254.23"
2/7/23,10:30:48,TRD,1628162039,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 8 FEB 23/7 FEB 23 408/410 PUT @-.30,-0.03,-1.30,-30.00,"117,222.90"
2/8/23,00:00:00,BAL,,Cash balance at the start of business day 08.02 CST,,,,"117,222.90"
2/8/23,12:24:07,TRD,1629132982,tAndroid SOLD -1 CALENDAR SPY 100 9 FEB 23/8 FEB 23 410 CALL @.97,-0.03,-1.30,97.00,"117,318.57"
2/8/23,12:24:30,TRD,1629132998,tAndroid SOLD -1 DIAGONAL SPY 100 9 FEB 23/8 FEB 23 410/408 PUT @.94,-0.03,-1.30,94.00,"117,411.24"
2/9/23,00:00:00,BAL,,Cash balance at the start of business day 09.02 CST,,,,"117,411.24"
2/9/23,10:24:32,TRD,1629759711,tAndroid SOLD -1 CALENDAR SPY 100 (Weeklys) 10 FEB 23/9 FEB 23 410 PUT @.87,-0.03,-1.30,87.00,"117,496.91"
2/9/23,10:25:02,TRD,1629757771,tAndroid SOLD -1 CALENDAR SPY 100 (Weeklys) 10 FEB 23/9 FEB 23 410 CALL @1.01,-0.03,-1.30,101.00,"117,596.58"
2/10/23,00:00:00,BAL,,Cash balance at the start of business day 10.02 CST,,,,"117,596.58"
2/10/23,09:46:19,TRD,1630489158,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 13 FEB 23/10 FEB 23 408/410 PUT @-.53,-0.03,-1.30,-53.00,"117,542.25"
2/10/23,10:01:15,TRD,1630491173,tAndroid SOLD -1 CALENDAR SPY 100 (Weeklys) 13 FEB 23/10 FEB 23 410 CALL @.77,-0.03,-1.30,77.00,"117,617.92"
2/11/23,00:00:00,BAL,,Cash balance at the start of business day 11.02 CST,,,,"117,617.92"
2/12/23,00:00:00,BAL,,Cash balance at the start of business day 12.02 CST,,,,"117,617.92"
2/13/23,00:00:00,BAL,,Cash balance at the start of business day 13.02 CST,,,,"117,617.92"
2/13/23,09:24:54,TRD,1631246027,tAndroid SOLD -1 DIAGONAL SPY 100 14 FEB 23/13 FEB 23 412/410 CALL @1.67,-0.03,-1.30,167.00,"117,783.59"
2/13/23,09:24:55,TRD,1631246054,tAndroid SOLD -1 CALENDAR SPY 100 14 FEB 23/13 FEB 23 408 PUT @2.36,-0.03,-1.30,236.00,"118,018.26"
2/14/23,00:00:00,BAL,,Cash balance at the start of business day 14.02 CST,,,,"118,018.26"
2/14/23,08:59:03,TRD,1631922826,tAndroid SOLD -1 CALENDAR SPY 100 (Weeklys) 15 FEB 23/14 FEB 23 412 CALL @.63,-0.03,-1.30,63.00,"118,079.93"
2/14/23,08:59:34,TRD,1631922898,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 15 FEB 23/14 FEB 23 410/408 PUT @.78,-0.03,-1.30,78.00,"118,156.60"
2/15/23,00:00:00,BAL,,Cash balance at the start of business day 15.02 CST,,,,"118,156.60"
2/15/23,08:40:12,TRD,1632599948,tAndroid SOLD -1 DIAGONAL SPY 100 16 FEB 23/15 FEB 23 408/410 PUT @.06,-0.03,-1.30,6.00,"118,161.27"
2/15/23,08:42:43,TRD,1632601405,tAndroid SOLD -1 CALENDAR SPY 100 16 FEB 23/15 FEB 23 412 CALL @.85,-0.03,-1.30,85.00,"118,244.94"
2/16/23,00:00:00,BAL,,Cash balance at the start of business day 16.02 CST,,,,"118,244.94"
2/16/23,08:49:11,TRD,1633396565,tAndroid SOLD -1 CALENDAR SPY 100 17 FEB 23/16 FEB 23 412 CALL @.67,-0.03,-1.30,67.00,"118,310.61"
2/16/23,08:50:54,TRD,1633396529,tAndroid SOLD -1 CALENDAR SPY 100 17 FEB 23/16 FEB 23 408 PUT @.84,-0.03,-1.30,84.00,"118,393.28"
2/17/23,00:00:00,BAL,,Cash balance at the start of business day 17.02 CST,,,,"118,393.28"
2/17/23,10:36:21,TRD,1634420764,tAndroid SOLD -1 DIAGONAL SPY 100 21 FEB 23/17 FEB 23 406/408 PUT @-.54,-0.03,-1.30,-54.00,"118,337.95"
2/17/23,10:37:24,TRD,1634420800,tAndroid SOLD -1 DIAGONAL SPY 100 21 FEB 23/17 FEB 23 408/412 CALL @.99,-0.03,-1.30,99.00,"118,435.62"
2/18/23,00:00:00,BAL,,Cash balance at the start of business day 18.02 CST,,,,"118,435.62"
2/19/23,00:00:00,BAL,,Cash balance at the start of business day 19.02 CST,,,,"118,435.62"
2/20/23,00:00:00,BAL,,Cash balance at the start of business day 20.02 CST,,,,"118,435.62"
2/21/23,00:00:00,BAL,,Cash balance at the start of business day 21.02 CST,,,,"118,435.62"
2/21/23,09:10:33,TRD,1635208591,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 22 FEB 23/21 FEB 23 404/406 PUT @-.54,-0.03,-1.30,-54.00,"118,380.29"
2/21/23,09:11:45,TRD,1635212551,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 22 FEB 23/21 FEB 23 404/408 CALL @1.51,-0.03,-1.30,151.00,"118,529.96"
2/22/23,00:00:00,BAL,,Cash balance at the start of business day 22.02 CST,,,,"118,529.96"
2/22/23,11:22:06,TRD,1636175426,tAndroid SOLD -1 DIAGONAL SPY 100 23 FEB 23/22 FEB 23 402/404 PUT @-1.01,-0.03,-1.30,-101.00,"118,427.63"
2/22/23,11:23:26,TRD,1636176920,tAndroid SOLD -1 DIAGONAL SPY 100 23 FEB 23/22 FEB 23 402/404 CALL @1.09,-0.03,-1.30,109.00,"118,535.30"
2/23/23,00:00:00,BAL,,Cash balance at the start of business day 23.02 CST,,,,"118,535.30"
2/23/23,12:01:30,TRD,1637019819,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 24 FEB 23/23 FEB 23 400/402 PUT @-1.00,-0.03,-1.30,-100.00,"118,433.97"
2/23/23,12:01:51,TRD,1637019837,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 24 FEB 23/23 FEB 23 400/402 CALL @1.09,-0.03,-1.30,109.00,"118,541.64"
2/24/23,00:00:00,BAL,,Cash balance at the start of business day 24.02 CST,,,,"118,541.64"
2/24/23,08:34:52,TRD,1637393181,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 27 FEB 23/24 FEB 23 394/400 PUT @-2.69,-0.03,-1.30,-269.00,"118,271.31"
2/24/23,08:34:54,TRD,1637393106,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 27 FEB 23/24 FEB 23 396/400 CALL @2.14,-0.03,-1.30,214.00,"118,483.98"
2/25/23,00:00:00,BAL,,Cash balance at the start of business day 25.02 CST,,,,"118,483.98"
2/26/23,00:00:00,BAL,,Cash balance at the start of business day 26.02 CST,,,,"118,483.98"
2/27/23,00:00:00,BAL,,Cash balance at the start of business day 27.02 CST,,,,"118,483.98"
2/27/23,08:56:46,TRD,1638301306,tAndroid SOLD -1 DIAGONAL SPY 100 28 FEB 23/27 FEB 23 398/396 CALL @-.89,-0.03,-1.30,-89.00,"118,393.65"
2/27/23,08:57:13,TRD,1638301364,tAndroid SOLD -1 DIAGONAL SPY 100 28 FEB 23/27 FEB 23 398/394 PUT @1.16,-0.03,-1.30,116.00,"118,508.32"
2/28/23,00:00:00,BAL,,Cash balance at the start of business day 28.02 CST,,,,"118,508.32"
2/28/23,08:40:24,TRD,1639022708,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 1 MAR 23/28 FEB 23 396/398 PUT @-.28,-0.03,-1.30,-28.00,"118,478.99"
2/28/23,08:41:07,TRD,1639025213,tAndroid SOLD -1 CALENDAR SPY 100 (Weeklys) 1 MAR 23/28 FEB 23 398 CALL @.75,-0.03,-1.30,75.00,"118,552.66"
3/1/23,00:00:00,BAL,,Cash balance at the start of business day 01.03 CST,,,,"118,552.66"
3/1/23,10:04:27,TRD,1639994345,tAndroid SOLD -1 CALENDAR SPY 100 2 MAR 23/1 MAR 23 396 PUT @.81,-0.03,-1.30,81.00,"118,632.33"
3/1/23,10:04:43,TRD,1639994375,tAndroid SOLD -1 CALENDAR SPY 100 2 MAR 23/1 MAR 23 398 CALL @.70,-0.03,-1.30,70.00,"118,701.00"
3/2/23,00:00:00,BAL,,Cash balance at the start of business day 02.03 CST,,,,"118,701.00"
3/2/23,09:45:29,TRD,1640732822,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 3 MAR 23/2 MAR 23 396/398 CALL @.99,-0.03,-1.30,99.00,"118,798.67"
3/2/23,09:48:22,TRD,1640729777,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 3 MAR 23/2 MAR 23 394/396 PUT @-.46,-0.03,-1.30,-46.00,"118,751.34"
3/3/23,00:00:00,BAL,,Cash balance at the start of business day 03.03 CST,,,,"118,751.34"
3/3/23,09:02:12,TRD,1641382243,tAndroid SOLD -1 DIAGONAL SPY 100 19 MAY 23/3 MAR 23 380/396 CALL @24.36,-0.07,-1.30,"2,436.00","121,185.97"
3/3/23,09:03:10,TRD,1641382295,tAndroid SOLD -1 DIAGONAL SPY 100 19 MAY 23/3 MAR 23 440/394 PUT @41.10,-0.09,-1.30,"4,110.00","125,294.58"
3/3/23,11:00:34,TRD,1641603247,tAndroid BOT +1 DIAGONAL SPY 100 16 JUN 23/6 MAR 23 360/402 CALL @47.63,-0.03,-1.30,"-4,763.00","120,530.25"
3/3/23,11:03:11,TRD,1641603297,tAndroid BOT +1 DIAGONAL SPY 100 16 JUN 23/6 MAR 23 440/402 PUT @37.32,-0.03,-1.30,"-3,732.00","116,796.92"
3/4/23,00:00:00,BAL,,Cash balance at the start of business day 04.03 CST,,,,"116,796.92"
3/5/23,00:00:00,BAL,,Cash balance at the start of business day 05.03 CST,,,,"116,796.92"
3/6/23,00:00:00,BAL,,Cash balance at the start of business day 06.03 CST,,,,"116,796.92"
3/6/23,10:02:02,TRD,1642289953,tAndroid SOLD -1 DIAGONAL SPY 100 7 MAR 23/6 MAR 23 406/402 PUT @1.96,-0.03,-1.30,196.00,"116,991.59"
3/6/23,10:09:57,TRD,1642301661,tAndroid SOLD -1 DIAGONAL SPY 100 7 MAR 23/6 MAR 23 406/402 CALL @-2.10,-0.03,-1.30,-210.00,"116,780.26"
3/7/23,00:00:00,BAL,,Cash balance at the start of business day 07.03 CST,,,,"116,780.26"
3/7/23,10:02:19,TRD,1643047570,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 8 MAR 23/7 MAR 23 402/406 PUT @-2.66,-0.03,-1.30,-266.00,"116,512.93"
3/7/23,10:02:20,TRD,1643047538,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 8 MAR 23/7 MAR 23 402/406 CALL @1.38,-0.03,-1.30,138.00,"116,649.60"
3/8/23,00:00:00,BAL,,Cash balance at the start of business day 08.03 CST,,,,"116,649.60"
3/8/23,09:55:17,TRD,1643760341,tAndroid SOLD -1 DIAGONAL SPY 100 9 MAR 23/8 MAR 23 400/402 CALL @1.15,-0.03,-1.30,115.00,"116,763.27"
3/8/23,09:55:42,TRD,1643760377,tAndroid SOLD -1 DIAGONAL SPY 100 9 MAR 23/8 MAR 23 400/402 PUT @-1.01,-0.03,-1.30,-101.00,"116,660.94"
3/9/23,00:00:00,BAL,,Cash balance at the start of business day 09.03 CST,,,,"116,660.94"
3/9/23,09:32:30,TRD,1644442162,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 10 MAR 23/9 MAR 23 402/400 CALL @.65,-0.03,-1.30,65.00,"116,724.61"
3/9/23,09:33:19,TRD,1644442186,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 10 MAR 23/9 MAR 23 398/400 PUT @.75,-0.03,-1.30,75.00,"116,798.28"
3/10/23,00:00:00,BAL,,Cash balance at the start of business day 10.03 CST,,,,"116,798.28"
3/10/23,10:42:40,TRD,1645370653,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 13 MAR 23/10 MAR 23 392/398 PUT @-3.24,-0.03,-1.30,-324.00,"116,472.95"
3/10/23,10:43:53,TRD,1645372325,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 13 MAR 23/10 MAR 23 394/402 CALL @1.67,-0.03,-1.30,167.00,"116,638.62"
3/11/23,00:00:00,BAL,,Cash balance at the start of business day 11.03 CST,,,,"116,638.62"
3/12/23,00:00:00,BAL,,Cash balance at the start of business day 12.03 CST,,,,"116,638.62"
3/13/23,00:00:00,BAL,,Cash balance at the start of business day 13.03 CST,,,,"116,638.62"
3/13/23,11:08:09,TRD,1646239042,tAndroid SOLD -1 DIAGONAL SPY 100 14 MAR 23/13 MAR 23 390/392 PUT @1.05,-0.03,-1.30,105.00,"116,742.29"
3/13/23,13:40:15,TRD,1646412560,tAndroid SOLD -1 DIAGONAL SPY 100 14 MAR 23/13 MAR 23 390/394 CALL @2.90,-0.03,-1.30,290.00,"117,030.96"
3/14/23,00:00:00,BAL,,Cash balance at the start of business day 14.03 CST,,,,"117,030.96"
3/14/23,08:49:12,TRD,1646739761,tAndroid SOLD -1 CALENDAR SPY 100 (Weeklys) 15 MAR 23/14 MAR 23 390 PUT @.87,-0.03,-1.30,87.00,"117,116.63"
3/14/23,08:49:47,TRD,1646742241,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 15 MAR 23/14 MAR 23 392/390 CALL @-.25,-0.03,-1.30,-25.00,"117,090.30"
3/15/23,00:00:00,BAL,,Cash balance at the start of business day 15.03 CST,,,,"117,090.30"
3/15/23,12:15:27,TRD,1647823656,tAndroid SOLD -1 DIAGONAL SPY 100 16 MAR 23/15 MAR 23 388/390 PUT @-.09,-0.03,-1.30,-9.00,"117,079.97"
3/15/23,12:15:48,TRD,1647823683,tAndroid SOLD -1 DIAGONAL SPY 100 16 MAR 23/15 MAR 23 388/392 CALL @2.08,-0.03,-1.30,208.00,"117,286.64"
3/16/23,00:00:00,BAL,,Cash balance at the start of business day 16.03 CST,,,,"117,286.64"
3/16/23,11:20:42,TRD,1648527253,tAndroid SOLD -1 DIAGONAL SPY 100 17 MAR 23/16 MAR 23 392/388 CALL @-2.98,-0.03,-1.30,-298.00,"116,987.31"
3/16/23,11:21:03,TRD,1648527259,tAndroid SOLD -1 CALENDAR SPY 100 17 MAR 23/16 MAR 23 388 PUT @.95,-0.03,-1.30,95.00,"117,080.98"
3/17/23,00:00:00,BAL,,Cash balance at the start of business day 17.03 CST,,,,"117,080.98"
3/17/23,09:01:42,TRD,1649017893,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 20 MAR 23/17 MAR 23 394/392 CALL @.19,-0.03,-1.30,19.00,"117,098.65"
3/17/23,09:02:07,TRD,1649019565,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 20 MAR 23/17 MAR 23 390/388 PUT @1.16,-0.03,-1.30,116.00,"117,213.32"
3/18/23,00:00:00,BAL,,Cash balance at the start of business day 18.03 CST,,,,"117,213.32"
3/19/23,00:00:00,BAL,,Cash balance at the start of business day 19.03 CST,,,,"117,213.32"
3/20/23,00:00:00,BAL,,Cash balance at the start of business day 20.03 CST,,,,"117,213.32"
3/20/23,10:00:42,TRD,1650008910,tAndroid SOLD -1 CALENDAR SPY 100 21 MAR 23/20 MAR 23 390 PUT @.94,-0.03,-1.30,94.00,"117,305.99"
3/20/23,10:00:54,TRD,1650008922,tAndroid SOLD -1 CALENDAR SPY 100 21 MAR 23/20 MAR 23 394 CALL @1.12,-0.03,-1.30,112.00,"117,416.66"
3/21/23,00:00:00,BAL,,Cash balance at the start of business day 21.03 CST,,,,"117,416.66"
3/21/23,11:16:51,TRD,1650851473,tAndroid SOLD -1 CALENDAR SPY 100 (Weeklys) 22 MAR 23/21 MAR 23 390 PUT @1.05,-0.03,-1.30,105.00,"117,520.33"
3/21/23,11:20:14,TRD,1650851456,tAndroid SOLD -1 CALENDAR SPY 100 (Weeklys) 22 MAR 23/21 MAR 23 394 CALL @2.13,-0.03,-1.30,213.00,"117,732.00"
3/22/23,00:00:00,BAL,,Cash balance at the start of business day 22.03 CST,,,,"117,732.00"
3/22/23,13:22:18,TRD,1651677656,tAndroid SOLD -1 DIAGONAL SPY 100 23 MAR 23/22 MAR 23 396/394 CALL @-.56,-0.03,-1.30,-56.00,"117,674.67"
3/22/23,13:22:42,TRD,1651677684,tAndroid SOLD -1 DIAGONAL SPY 100 23 MAR 23/22 MAR 23 394/390 PUT @1.11,-0.03,-1.30,111.00,"117,784.34"
3/23/23,00:00:00,BAL,,Cash balance at the start of business day 23.03 CST,,,,"117,784.34"
3/23/23,10:48:02,TRD,1652296648,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 24 MAR 23/23 MAR 23 398/396 CALL @-.34,-0.03,-1.30,-34.00,"117,749.01"
3/23/23,10:48:26,TRD,1652296676,tAndroid SOLD -1 CALENDAR SPY 100 (Weeklys) 24 MAR 23/23 MAR 23 394 PUT @.64,-0.03,-1.30,64.00,"117,811.68"
3/24/23,00:00:00,BAL,,Cash balance at the start of business day 24.03 CST,,,,"117,811.68"
3/24/23,10:01:52,TRD,1653018839,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 27 MAR 23/24 MAR 23 394/398 CALL @1.84,-0.03,-1.30,184.00,"117,994.35"
3/24/23,10:04:13,TRD,1653015577,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 27 MAR 23/24 MAR 23 392/394 PUT @.25,-0.03,-1.30,25.00,"118,018.02"
3/25/23,00:00:00,BAL,,Cash balance at the start of business day 25.03 CST,,,,"118,018.02"
3/26/23,00:00:00,BAL,,Cash balance at the start of business day 26.03 CST,,,,"118,018.02"
3/27/23,00:00:00,BAL,,Cash balance at the start of business day 27.03 CST,,,,"118,018.02"
3/27/23,10:27:11,TRD,1653825356,tAndroid SOLD -1 DIAGONAL SPY 100 28 MAR 23/27 MAR 23 396/394 CALL @-.34,-0.03,-1.30,-34.00,"117,982.69"
3/27/23,10:27:20,TRD,1653825388,tAndroid SOLD -1 CALENDAR SPY 100 28 MAR 23/27 MAR 23 392 PUT @.65,-0.03,-1.30,65.00,"118,046.36"
3/28/23,00:00:00,BAL,,Cash balance at the start of business day 28.03 CST,,,,"118,046.36"
3/28/23,09:25:15,TRD,1654432592,tAndroid SOLD -1 CALENDAR SPY 100 (Weeklys) 29 MAR 23/28 MAR 23 396 CALL @.87,-0.03,-1.30,87.00,"118,132.03"
3/28/23,11:39:55,TRD,1654614116,tAndroid SOLD -1 DIAGONAL SPY 100 (Weeklys) 29 MAR 23/28 MAR 23 394/392 PUT @1.12,-0.03,-1.30,112.00,"118,242.70"
3/29/23,00:00:00,BAL,,Cash balance at the start of business day 29.03 CST,,,,"118,242.70"
3/29/23,09:20:34,TRD,1655110293,tAndroid SOLD -1 DIAGONAL SPY 100 30 MAR 23/29 MAR 23 396/394 PUT @.61,-0.03,-1.30,61.00,"118,302.37"
3/29/23,09:24:18,TRD,1655110238,tAndroid SOLD -1 DIAGONAL SPY 100 30 MAR 23/29 MAR 23 400/396 CALL @-2.10,-0.03,-1.30,-210.00,"118,091.04"
3/30/23,00:00:00,BAL,,Cash balance at the start of business day 30.03 CST,,,,"118,091.04"
3/30/23,12:58:41,TRD,1656078842,tAndroid SOLD -1 DIAGONAL SPY 100 (Quarterlys) 31 MAR 23/30 MAR 23 400/396 PUT @.89,-0.03,-1.30,89.00,"118,178.71"
3/30/23,12:59:19,TRD,1656078873,tAndroid SOLD -1 DIAGONAL SPY 100 (Quarterlys) 31 MAR 23/30 MAR 23 404/400 CALL @-1.57,-0.03,-1.30,-157.00,"118,020.38"
3/31/23,00:00:00,BAL,,Cash balance at the start of business day 31.03 CST,,,,"118,020.38"
3/31/23,09:15:54,TRD,1656468361,tAndroid SOLD -1 DIAGONAL SPY 100 16 JUN 23/31 MAR 23 440/400 PUT @34.51,-0.08,-1.30,"3,451.00","121,470.00"
3/31/23,09:16:14,TRD,1656468388,tAndroid SOLD -1 DIAGONAL SPY 100 16 JUN 23/31 MAR 23 360/404 CALL @49.88,-0.11,-1.30,"4,988.00","126,456.59"
3/31/23,09:59:55,TRD,1656544997,tAndroid BOT +2 DIAGONAL SPY 100 21 JUL 23/3 APR 23 380/404 CALL @34.49,-0.03,-2.60,"-6,898.00","119,555.96"
3/31/23,10:02:49,TRD,1656547267,tAndroid BOT +2 DIAGONAL SPY 100 21 JUL 23/3 APR 23 440/408 PUT @31.73,-0.03,-2.60,"-6,346.00","113,207.33"
3/31/23,10:13:50,TRD,1656564775,tAndroid BOT +2 SPY 100 (Weeklys) 3 APR 23 408 PUT @2.66,-0.01,-1.30,-532.00,"112,674.02"
